ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,totpop2019
Nord-Kivu,CD61,Lubero,CD6105ZS04,284071
Nord-Kivu,CD61,Manguredjipa,CD6105ZS05,77297
Nord-Kivu,CD61,Masereka,CD6105ZS06,189583
Nord-Kivu,CD61,Musienene,CD6105ZS07,266100
Nord-Kivu,CD61,Katoyi,CD6103ZS01,22660
Nord-Kivu,CD61,Kirotshe,CD6103ZS02,467876
Nord-Kivu,CD61,Masisi,CD6103ZS03,437270
Nord-Kivu,CD61,Mweso,CD6103ZS04,417978
Nord-Kivu,CD61,Nyiragongo,CD6102ZS01,656108
Nord-Kivu,CD61,Kalunguta,CD6107ZS01,212947
Nord-Kivu,CD61,Kamango,CD6107ZS02,112742
Nord-Kivu,CD61,Kyondo,CD6107ZS03,229589
Nord-Kivu,CD61,Mabalako,CD6107ZS04,198636
Nord-Kivu,CD61,Mutwanga,CD6107ZS05,264633
Nord-Kivu,CD61,Oicha,CD6107ZS06,358713
Nord-Kivu,CD61,Vuhovi,CD6107ZS07,129673
Nord-Kivu,CD61,Bambo,CD6111ZS01,161556
Nord-Kivu,CD61,Binza,CD6111ZS02,196780
Nord-Kivu,CD61,Birambizo,CD6111ZS03,411587
Nord-Kivu,CD61,Kibirizi,CD6111ZS04,342547
Nord-Kivu,CD61,Rutshuru,CD6111ZS05,303324
Nord-Kivu,CD61,Rwanguba,CD6111ZS06,277823
Nord-Kivu,CD61,Itebero,CD6104ZS01,189982
Nord-Kivu,CD61,Kibua,CD6104ZS02,108380
Nord-Kivu,CD61,Pinga,CD6104ZS03,161232
Nord-Kivu,CD61,Walikale,CD6104ZS04,167886
Nord-Ubangi,CD43,Bili,CD4306ZS01,197243
Nord-Ubangi,CD43,Bosobolo,CD4306ZS02,175836
Nord-Ubangi,CD43,Businga,CD4305ZS01,136439
Nord-Ubangi,CD43,Karawa,CD4305ZS02,267829
Nord-Ubangi,CD43,Loko,CD4305ZS03,134459
Nord-Ubangi,CD43,Gbadolite,CD4301ZS01,154524
Nord-Ubangi,CD43,Mobayi Mbongo,CD4302ZS01,119763
Nord-Ubangi,CD43,Abuzi,CD4304ZS01,81194
Nord-Ubangi,CD43,Wapinda,CD4304ZS02,83877
Nord-Ubangi,CD43,Wasolo,CD4304ZS03,78263
Nord-Ubangi,CD43,Yakoma,CD4304ZS04,108155
Sankuru,CD83,Djalo Djeka,CD8308ZS01,88470
Sankuru,CD83,Katako Kombe,CD8308ZS02,148406
Sankuru,CD83,Wembo Nyama,CD8308ZS03,93125
Sankuru,CD83,Bena Dibele,CD8306ZS01,94736
Sankuru,CD83,Kole,CD8306ZS02,96869
Sankuru,CD83,Lodja,CD8303ZS01,203482
Sankuru,CD83,Omendjadi,CD8303ZS02,143957
Sankuru,CD83,Vanga Kete,CD8303ZS03,136581
Sankuru,CD83,Lomela,CD8307ZS01,124331
Sankuru,CD83,Tshudi Loto,CD8307ZS02,85736
Sankuru,CD83,Dikungu,CD8309ZS01,155809
Sankuru,CD83,Minga,CD8309ZS02,176319
Sankuru,CD83,Tshumbe,CD8309ZS03,107178
Sankuru,CD83,Lusambo,CD8302ZS01,99859
Sankuru,CD83,Ototo,CD8302ZS02,142517
Sankuru,CD83,Pania Mutombo,CD8302ZS03,80916
Sud-Kivu,CD62,Bagira,CD6201ZS01,135955
Sud-Kivu,CD62,Ibanda,CD6201ZS02,441555
Sud-Kivu,CD62,Kadutu,CD6201ZS03,360050
Sud-Kivu,CD62,Fizi,CD6210ZS01,337096
Sud-Kivu,CD62,Kimbi Lulenge,CD6210ZS02,196875
Sud-Kivu,CD62,Minembwe,CD6210ZS03,86652
Sud-Kivu,CD62,Nundu,CD6210ZS04,205743
Sud-Kivu,CD62,Idjwi,CD6206ZS01,278742
Sud-Kivu,CD62,Kabare,CD6202ZS01,229491
Sud-Kivu,CD62,Kaniola,CD6202ZS02,176837
Sud-Kivu,CD62,Katana,CD6202ZS03,222860
Sud-Kivu,CD62,Miti-Murhesa,CD6202ZS04,255179
Sud-Kivu,CD62,Nyantende,CD6202ZS05,132771
Sud-Kivu,CD62,Bunyakiri,CD6205ZS01,223614
Sud-Kivu,CD62,Kalehe,CD6205ZS02,177160
Sud-Kivu,CD62,Kalonge,CD6205ZS03,168000
Sud-Kivu,CD62,Minova,CD6205ZS04,260674
Sud-Kivu,CD62,Itombwe,CD6212ZS01,96529
Sud-Kivu,CD62,Kamituga,CD6212ZS02,202014
Sud-Kivu,CD62,Kitutu,CD6212ZS03,154849
Sud-Kivu,CD62,Mwana,CD6212ZS04,140712
Sud-Kivu,CD62,Mwenga,CD6212ZS05,142408
Sud-Kivu,CD62,Kalole,CD6203ZS01,129574
Sud-Kivu,CD62,Lulingu,CD6203ZS02,173491
Sud-Kivu,CD62,Mulungu,CD6203ZS03,161950
Sud-Kivu,CD62,Shabunda,CD6203ZS04,196446
Sud-Kivu,CD62,Hauts-Plateaux,CD6208ZS01,147840
Sud-Kivu,CD62,Lemera,CD6208ZS02,178930
Sud-Kivu,CD62,Ruzizi,CD6208ZS03,178925
Sud-Kivu,CD62,Uvira,CD6208ZS04,336792
Sud-Kivu,CD62,Kaziba,CD6207ZS01,127168
Sud-Kivu,CD62,Mubumbano,CD6207ZS02,195447
Sud-Kivu,CD62,Nyangezi,CD6207ZS03,155931
Sud-Kivu,CD62,Walungu,CD6207ZS04,269716
Sud-Ubangi,CD42,Bangabola,CD4203ZS01,144801
Sud-Ubangi,CD42,Budjala,CD4203ZS02,137028
Sud-Ubangi,CD42,Bulu,CD4203ZS03,138241
Sud-Ubangi,CD42,Mbaya,CD4203ZS04,70300
Sud-Ubangi,CD42,Ndage,CD4203ZS05,134280
Sud-Ubangi,CD42,Bogosenubia,CD4202ZS01,151800
Sud-Ubangi,CD42,Bominenge,CD4202ZS02,165892
Sud-Ubangi,CD42,Bwamanda,CD4202ZS03,241934
Sud-Ubangi,CD42,Gemena,CD4202ZS04,356400
