"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"87",15,"GOMA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"88",15,"GOMA",">=6",0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.2,-0.22314355118921
"89",15,"KALUNGUTA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"90",15,"KALUNGUTA",">=2",0.7,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.7,-1.2039728039926
"91",15,"KALUNGUTA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"92",15,"KALUNGUTA",">=6",0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.15,-0.162518929380128
"93",15,"KATWA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"94",15,"KATWA",">=2",0.6,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.6,-0.916290731624155
"95",15,"KATWA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"96",15,"KATWA",">=6",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"97",15,"LOLWA",">=10",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"98",15,"LOLWA",">=2",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180359945
"99",15,"LOLWA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"100",15,"LOLWA",">=6",0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.1,-0.105360515546715
"101",15,"MABALAKO",">=10",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.95,-2.99573227555399
"102",15,"MABALAKO",">=2",0.8,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.2,-0.22314355143921
